ID_merge	ID	Group	Wk Post-TX	weeks post-ATI	IL10 Pr (pg/ml)
RYk17_aIL10_-1	RYk17	aIL10	-1	-13	4.492134459347574
RHm17_aIL10_-1	RHm17	aIL10	-1	-13	7.748302699122371
34897_aIL10_-1	34897	aIL10	-1	-13	1.1114422917701605
RFn17_aIL10_-1	RFn17	aIL10	-1	-13	4.979632389468455
RVm17_aIL10_-1	RVm17	aIL10	-1	-13	1.8267925153171054
RVc17_aIL10_-1	RVc17	aIL10	-1	-13	12.656
34920_aIL10_-1	34920	aIL10	-1	-13	7.912
34930_aIL10_-1	34930	aIL10	-1	-13	1.6400000000000001
RGr17_aIL10_-1	RGr17	aIL10	-1	-13	1.2800000000000002
RZp17_aIL10_-1	RZp17	aIL10	-1	-13	2.08
RFl17_aIL10+aPD1_-1	RFl17	aIL10+aPD1	-1	-13	0.7458188441795
RYm17_aIL10+aPD1_-1	RYm17	aIL10+aPD1	-1	-13	3.8801126014240768
RNy16_aIL10+aPD1_-1	RNy16	aIL10+aPD1	-1	-13	10.641496936578903
RRh17_aIL10+aPD1_-1	RRh17	aIL10+aPD1	-1	-13	4.6775956284153
RIb17_aIL10+aPD1_-1	RIb17	aIL10+aPD1	-1	-13	7.456863719158801
34918_aIL10+aPD1_-1	34918	aIL10+aPD1	-1	-13	1.088
RBf17_aIL10+aPD1_-1	RBf17	aIL10+aPD1	-1	-13	1.36
RBv17_aIL10+aPD1_-1	RBv17	aIL10+aPD1	-1	-13	4.36
RKq17_aIL10+aPD1_-1	RKq17	aIL10+aPD1	-1	-13	14.632000000000001
RWs17_aIL10+aPD1_-1	RWs17	aIL10+aPD1	-1	-13	13.736
RYk17_aIL10_0	RYk17	aIL10	0	-12	3.363470773306839
RHm17_aIL10_0	RHm17	aIL10	0	-12	6.881934095048849
34897_aIL10_0	34897	aIL10	0	-12	2.5765855274051996
RFn17_aIL10_0	RFn17	aIL10	0	-12	4.783573439311144
RVm17_aIL10_0	RVm17	aIL10	0	-12	1.294254015565491
RVc17_aIL10_0	RVc17	aIL10	0	-12	14.664000000000001
34920_aIL10_0	34920	aIL10	0	-12	10.552000000000001
34930_aIL10_0	34930	aIL10	0	-12	2.552
RGr17_aIL10_0	RGr17	aIL10	0	-12	1.0240000000000002
RZp17_aIL10_0	RZp17	aIL10	0	-12	5.8
RFl17_aIL10+aPD1_0	RFl17	aIL10+aPD1	0	-12	0.45967875476072195
RYm17_aIL10+aPD1_0	RYm17	aIL10+aPD1	0	-12	4.208643815201192
RNy16_aIL10+aPD1_0	RNy16	aIL10+aPD1	0	-12	11.163437655240934
RRh17_aIL10+aPD1_0	RRh17	aIL10+aPD1	0	-12	4.4285477728100675
RIb17_aIL10+aPD1_0	RIb17	aIL10+aPD1	0	-12	5.729425401556549
34918_aIL10+aPD1_0	34918	aIL10+aPD1	0	-12	1.1840000000000002
RBf17_aIL10+aPD1_0	RBf17	aIL10+aPD1	0	-12	1.6720000000000002
RBv17_aIL10+aPD1_0	RBv17	aIL10+aPD1	0	-12	5.384
RKq17_aIL10+aPD1_0	RKq17	aIL10+aPD1	0	-12	14.696000000000002
RWs17_aIL10+aPD1_0	RWs17	aIL10+aPD1	0	-12	10.160000000000002
RYk17_aIL10_1	RYk17	aIL10	1	-11	305.5416191562143
RHm17_aIL10_1	RHm17	aIL10	1	-11	235.66704675028507
34897_aIL10_1	34897	aIL10	1	-11	506.77309007981756
RFn17_aIL10_1	RFn17	aIL10	1	-11	120.72976054732041
RVm17_aIL10_1	RVm17	aIL10	1	-11	278.17559863169896
RVc17_aIL10_1	RVc17	aIL10	1	-11	211.43697478991598
34920_aIL10_1	34920	aIL10	1	-11	271.60504201680675
34930_aIL10_1	34930	aIL10	1	-11	208.74789915966386
RGr17_aIL10_1	RGr17	aIL10	1	-11	542.5294117647059
RZp17_aIL10_1	RZp17	aIL10	1	-11	120.68067226890756
RFl17_aIL10+aPD1_1	RFl17	aIL10+aPD1	1	-11	113.61459521094642
RYm17_aIL10+aPD1_1	RYm17	aIL10+aPD1	1	-11	301.52793614595214
RNy16_aIL10+aPD1_1	RNy16	aIL10+aPD1	1	-11	313.38654503990875
RRh17_aIL10+aPD1_1	RRh17	aIL10+aPD1	1	-11	286.0205245153934
RIb17_aIL10+aPD1_1	RIb17	aIL10+aPD1	1	-11	114.16191562143672
34918_aIL10+aPD1_1	34918	aIL10+aPD1	1	-11	871.6050420168067
RBf17_aIL10+aPD1_1	RBf17	aIL10+aPD1	1	-11	663.5378151260504
RBv17_aIL10+aPD1_1	RBv17	aIL10+aPD1	1	-11	645.0504201680673
RKq17_aIL10+aPD1_1	RKq17	aIL10+aPD1	1	-11	422.52941176470586
RWs17_aIL10+aPD1_1	RWs17	aIL10+aPD1	1	-11	326.3949579831933
RYk17_aIL10_4	RYk17	aIL10	4	-8	445.65564424173317
RHm17_aIL10_4	RHm17	aIL10	4	-8	225.4503990877993
34897_aIL10_4	34897	aIL10	4	-8	309.92018244013684
RFn17_aIL10_4	RFn17	aIL10	4	-8	64.1733181299886
RVm17_aIL10_4	RVm17	aIL10	4	-8	282.37172177879137
RVc17_aIL10_4	RVc17	aIL10	4	-8	948.9159663865546
34920_aIL10_4	34920	aIL10	4	-8	988.2436974789915
34930_aIL10_4	34930	aIL10	4	-8	527.0672268907563
RGr17_aIL10_4	RGr17	aIL10	4	-8	285.38655462184875
RZp17_aIL10_4	RZp17	aIL10	4	-8	220.84873949579833
RFl17_aIL10+aPD1_4	RFl17	aIL10+aPD1	4	-8	99.74914481185861
RYm17_aIL10+aPD1_4	RYm17	aIL10+aPD1	4	-8	329.44127708095783
RNy16_aIL10+aPD1_4	RNy16	aIL10+aPD1	4	-8	316.8529076396807
RRh17_aIL10+aPD1_4	RRh17	aIL10+aPD1	4	-8	189.1448118586089
RIb17_aIL10+aPD1_4	RIb17	aIL10+aPD1	4	-8	131.31128848346637
34918_aIL10+aPD1_4	34918	aIL10+aPD1	4	-8	517.3193277310925
RBf17_aIL10+aPD1_4	RBf17	aIL10+aPD1	4	-8	151.94117647058823
RBv17_aIL10+aPD1_4	RBv17	aIL10+aPD1	4	-8	372.4453781512605
RKq17_aIL10+aPD1_4	RKq17	aIL10+aPD1	4	-8	601.6890756302521
RWs17_aIL10+aPD1_4	RWs17	aIL10+aPD1	4	-8	422.52941176470586
RYk17_aIL10_5	RYk17	aIL10	5	-7	240.7753705815279
RHm17_aIL10_5	RHm17	aIL10	5	-7	373.0444697833524
34897_aIL10_5	34897	aIL10	5	-7	282.1892816419612
RFn17_aIL10_5	RFn17	aIL10	5	-7	157.76510832383124
RVm17_aIL10_5	RVm17	aIL10	5	-7	564.6066134549601
RVc17_aIL10_5	RVc17	aIL10	5	-7	389.5882352941177
34920_aIL10_5	34920	aIL10	5	-7	1146.563025210084
34930_aIL10_5	34930	aIL10	5	-7	802.0252100840337
RGr17_aIL10_5	RGr17	aIL10	5	-7	350.2605042016807
RZp17_aIL10_5	RZp17	aIL10	5	-7	164.3781512605042
RFl17_aIL10+aPD1_5	RFl17	aIL10+aPD1	5	-7	82.78221208665906
RYm17_aIL10+aPD1_5	RYm17	aIL10+aPD1	5	-7	362.6453819840365
RNy16_aIL10+aPD1_5	RNy16	aIL10+aPD1	5	-7	948.460661345496
RRh17_aIL10+aPD1_5	RRh17	aIL10+aPD1	5	-7	253.36374002280502
RIb17_aIL10+aPD1_5	RIb17	aIL10+aPD1	5	-7	267.9589509692132
34918_aIL10+aPD1_5	34918	aIL10+aPD1	5	-7	866.563025210084
RBf17_aIL10+aPD1_5	RBf17	aIL10+aPD1	5	-7	101.52100840336134
RBv17_aIL10+aPD1_5	RBv17	aIL10+aPD1	5	-7	220.1764705882353
RKq17_aIL10+aPD1_5	RKq17	aIL10+aPD1	5	-7	534.4621848739496
RWs17_aIL10+aPD1_5	RWs17	aIL10+aPD1	5	-7	423.8739495798319
RYk17_aIL10_8	RYk17	aIL10	8	-4	477.7651083238312
RHm17_aIL10_8	RHm17	aIL10	8	-4	251.72177879133412
34897_aIL10_8	34897	aIL10	8	-4	660.3876852907639
RFn17_aIL10_8	RFn17	aIL10	8	-4	51.037628278221206
RVm17_aIL10_8	RVm17	aIL10	8	-4	105.76966932725199
RVc17_aIL10_8	RVc17	aIL10	8	-4	202.36134453781514
34920_aIL10_8	34920	aIL10	8	-4	509.25210084033614
34930_aIL10_8	34930	aIL10	8	-4	497.48739495798316
RGr17_aIL10_8	RGr17	aIL10	8	-4	201.68907563025212
RZp17_aIL10_8	RZp17	aIL10	8	-4	251.43697478991598
RFl17_aIL10+aPD1_8	RFl17	aIL10+aPD1	8	-4	191.69897377423035
RYm17_aIL10+aPD1_8	RYm17	aIL10+aPD1	8	-4	695.5986316989738
RNy16_aIL10+aPD1_8	RNy16	aIL10+aPD1	8	-4	397.30900798175594
RRh17_aIL10+aPD1_8	RRh17	aIL10+aPD1	8	-4	223.80843785632837
RIb17_aIL10+aPD1_8	RIb17	aIL10+aPD1	8	-4	204.10490307867732
34918_aIL10+aPD1_8	34918	aIL10+aPD1	8	-4	379.16806722689074
RBf17_aIL10+aPD1_8	RBf17	aIL10+aPD1	8	-4	237.99159663865544
RBv17_aIL10+aPD1_8	RBv17	aIL10+aPD1	8	-4	363.70588235294116
RKq17_aIL10+aPD1_8	RKq17	aIL10+aPD1	8	-4	296.8151260504202
RWs17_aIL10+aPD1_8	RWs17	aIL10+aPD1	8	-4	648.4117647058824
RYk17_aIL10_9	RYk17	aIL10	9	-3	618.6088939566705
RYk17_aIL10_9	RYk17	aIL10	9	-3	488.1641961231471
RHm17_aIL10_9	RHm17	aIL10	9	-3	235.84948688711518
RHm17_aIL10_9	RHm17	aIL10	9	-3	328.8939566704675
34897_aIL10_9	34897	aIL10	9	-3	567.5256556442417
34897_aIL10_9	34897	aIL10	9	-3	665.678449258837
RFn17_aIL10_9	RFn17	aIL10	9	-3	1235.8038768529077
RFn17_aIL10_9	RFn17	aIL10	9	-3	959.5895096921323
RVm17_aIL10_9	RVm17	aIL10	9	-3	261.7559863169897
RVm17_aIL10_9	RVm17	aIL10	9	-3	242.05245153933868
RVc17_aIL10_9	RVc17	aIL10	9	-3	310.0196248196248
34920_aIL10_9	34920	aIL10	9	-3	735.6088504088505
34930_aIL10_9	34930	aIL10	9	-3	395.4453102453102
RGr17_aIL10_9	RGr17	aIL10	9	-3	223.43953823953825
RZp17_aIL10_9	RZp17	aIL10	9	-3	209.5867243867244
RFl17_aIL10+aPD1_9	RFl17	aIL10+aPD1	9	-3	497.6510832383124
RFl17_aIL10+aPD1_9	RFl17	aIL10+aPD1	9	-3	602.7366020524515
RYm17_aIL10+aPD1_9	RYm17	aIL10+aPD1	9	-3	1526.431014823261
RYm17_aIL10+aPD1_9	RYm17	aIL10+aPD1	9	-3	1292.3603192702396
RNy16_aIL10+aPD1_9	RNy16	aIL10+aPD1	9	-3	1296.5564424173317
RNy16_aIL10+aPD1_9	RNy16	aIL10+aPD1	9	-3	888.9851767388825
RRh17_aIL10+aPD1_9	RRh17	aIL10+aPD1	9	-3	813.8198403648802
RRh17_aIL10+aPD1_9	RRh17	aIL10+aPD1	9	-3	974.7320410490307
RIb17_aIL10+aPD1_9	RIb17	aIL10+aPD1	9	-3	505.31356898517674
RIb17_aIL10+aPD1_9	RIb17	aIL10+aPD1	9	-3	627.1835803876853
34918_aIL10+aPD1_9	34918	aIL10+aPD1	9	-3	2123.968638768639
RBf17_aIL10+aPD1_9	RBf17	aIL10+aPD1	9	-3	359.27407407407406
RBv17_aIL10+aPD1_9	RBv17	aIL10+aPD1	9	-3	409.29812409812416
RKq17_aIL10+aPD1_9	RKq17	aIL10+aPD1	9	-3	655.1855699855698
RWs17_aIL10+aPD1_9	RWs17	aIL10+aPD1	9	-3	1301.2654160654163
RYk17_aIL10_11	RYk17	aIL10	11	-1	380.70695553021665
RHm17_aIL10_11	RHm17	aIL10	11	-1	598.358038768529
34897_aIL10_11	34897	aIL10	11	-1	998.4492588369442
RFn17_aIL10_11	RFn17	aIL10	11	-1	204.46978335233752
RVm17_aIL10_11	RVm17	aIL10	11	-1	178.56328392246294
RVc17_aIL10_11	RVc17	aIL10	11	-1	236.9075517075517
34920_aIL10_11	34920	aIL10	11	-1	629.7887445887445
34930_aIL10_11	34930	aIL10	11	-1	468.5573833573834
RGr17_aIL10_11	RGr17	aIL10	11	-1	144.170658970659
RZp17_aIL10_11	RZp17	aIL10	11	-1	241.52515632515633
RFl17_aIL10+aPD1_11	RFl17	aIL10+aPD1	11	-1	263.21550741163054
RYm17_aIL10+aPD1_11	RYm17	aIL10+aPD1	11	-1	2014.2759407069557
RNy16_aIL10+aPD1_11	RNy16	aIL10+aPD1	11	-1	1785.1311288483466
RRh17_aIL10+aPD1_11	RRh17	aIL10+aPD1	11	-1	563.5119726339794
RIb17_aIL10+aPD1_11	RIb17	aIL10+aPD1	11	-1	499.47548460661346
34918_aIL10+aPD1_11	34918	aIL10+aPD1	11	-1	1093.0884078884078
RBf17_aIL10+aPD1_11	RBf17	aIL10+aPD1	11	-1	650.9527657527657
RBv17_aIL10+aPD1_11	RBv17	aIL10+aPD1	11	-1	430.0773448773449
RKq17_aIL10+aPD1_11	RKq17	aIL10+aPD1	11	-1	521.6598364598365
RWs17_aIL10+aPD1_11	RWs17	aIL10+aPD1	11	-1	1298.9566137566137
RYk17_aIL10_12	RYk17	aIL10	12	0	544.5381984036488
RHm17_aIL10_12	RHm17	aIL10	12	0	295.87229190421897
34897_aIL10_12	34897	aIL10	12	0	548.1870011402508
RFn17_aIL10_12	RFn17	aIL10	12	0	200.82098061573546
RVm17_aIL10_12	RVm17	aIL10	12	0	338.0159635119726
RVc17_aIL10_12	RVc17	aIL10	12	0	488.56700336700334
34920_aIL10_12	34920	aIL10	12	0	452.0109668109668
34930_aIL10_12	34930	aIL10	12	0	555.9070707070707
RGr17_aIL10_12	RGr17	aIL10	12	0	258.84117364117367
RZp17_aIL10_12	RZp17	aIL10	12	0	509.73102453102456
RFl17_aIL10+aPD1_12	RFl17	aIL10+aPD1	12	0	216.6932725199544
RYm17_aIL10+aPD1_12	RYm17	aIL10+aPD1	12	0	2868.4606613454957
RNy16_aIL10+aPD1_12	RNy16	aIL10+aPD1	12	0	1040.0456100342076
RRh17_aIL10+aPD1_12	RRh17	aIL10+aPD1	12	0	543.6259977194983
RIb17_aIL10+aPD1_12	RIb17	aIL10+aPD1	12	0	604.5610034207526
34918_aIL10+aPD1_12	34918	aIL10+aPD1	12	0	1191.9821067821067
RBf17_aIL10+aPD1_12	RBf17	aIL10+aPD1	12	0	290.01000481000483
RBv17_aIL10+aPD1_12	RBv17	aIL10+aPD1	12	0	521.6598364598365
RKq17_aIL10+aPD1_12	RKq17	aIL10+aPD1	12	0	1441.7175565175567
RWs17_aIL10+aPD1_12	RWs17	aIL10+aPD1	12	0	1585.2481000481
RYk17_aIL10_14	RYk17	aIL10	14	2	442.7618243243244
RHm17_aIL10_14	RHm17	aIL10	14	2	911.0050675675676
34897_aIL10_14	34897	aIL10	14	2	760.6672297297297
